label,count_in_test,status,is_unknown_in_train,percent_of_test
mscan,996,Unknown,1,4.418026969481902
apache2,737,Unknown,1,3.2691625266146205
processtable,685,Unknown,1,3.038502484031228
snmpguess,331,Unknown,1,1.4682398864442867
saint,319,Unknown,1,1.4150106458481193
mailbomb,293,Unknown,1,1.299680624556423
snmpgetattack,178,Unknown,1,0.7895670688431512
httptunnel,133,Unknown,1,0.589957416607523
named,17,Unknown,1,0.07540809084457062
ps,15,Unknown,1,0.06653655074520937
sendmail,14,Unknown,1,0.06210078069552875
xterm,13,Unknown,1,0.05766501064584812
xlock,9,Unknown,1,0.03992193044712562
xsnoop,4,Unknown,1,0.017743080198722498
sqlattack,2,Unknown,1,0.008871540099361249
udpstorm,2,Unknown,1,0.008871540099361249
worm,2,Unknown,1,0.008871540099361249
normal,9711,Known,0,43.07576295244854
neptune,4657,Known,0,20.65738112136267
guess_passwd,1231,Known,0,5.4604329311568485
warezmaster,944,Known,0,4.187366926898509
satan,735,Known,0,3.2602909865152587
smurf,665,Known,0,2.949787083037615
back,359,Known,0,1.5924414478353441
portsweep,157,Known,0,0.696415897799858
ipsweep,141,Known,0,0.625443577004968
nmap,73,Known,0,0.3238112136266856
pod,41,Known,0,0.1818665720369056
buffer_overflow,20,Known,0,0.08871540099361248
multihop,18,Known,0,0.07984386089425125
rootkit,13,Known,0,0.05766501064584812
teardrop,12,Known,0,0.053229240596167494
land,7,Known,0,0.031050390347764373
ftp_write,3,Known,0,0.013307310149041874
loadmodule,2,Known,0,0.008871540099361249
perl,2,Known,0,0.008871540099361249
phf,2,Known,0,0.008871540099361249
imap,1,Known,0,0.0044357700496806245
